"id","title","year","cast","genres","extract","thumbnail","thumbnail_width","thumbnail_height"
"e1926f09-66e9-4bf4-a231-99c6602d228a","The Grudge",2020,"{""Andrea Riseborough"",""Demián Bichir"",""John Cho"",""Betty Gilpin"",""Lin Shaye"",""Jacki Weaver""}","{Horror,Supernatural}","The Grudge is a 2020 American psychological supernatural horror film written and directed by Nicolas Pesce. Originally announced as a reboot of the 2004 American remake and the original 2002 Japanese horror film Ju-On: The Grudge, the film ended up taking place before and during the events of the 2004 film and its two direct sequels, and is the fourth installment in the American The Grudge film series. The film stars Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, and Jacki Weaver, and follows a police officer who investigates several murders that are seemingly connected to a single house.","https://upload.wikimedia.org/wikipedia/en/3/34/The_Grudge_2020_Poster.jpeg",220,326
"c2413148-eb2e-40a2-a3dd-00caf36b75a7","Underwater",2020,"{""Kristen Stewart"",""Vincent Cassel"",""Jessica Henwick"",""John Gallagher Jr."",""Mamoudou Athie"",""T.J. Miller""}","{Action,Horror,""Science Fiction""}","Underwater is a 2020 American science fiction action horror film directed by William Eubank. The film stars Kristen Stewart, Vincent Cassel, Jessica Henwick, John Gallagher Jr., Mamoudou Athie, and T.J. Miller.","https://upload.wikimedia.org/wikipedia/en/4/4a/Underwater_poster.jpeg",250,398
"79a891b9-58bb-4697-9e31-687f91179b42","Like a Boss",2020,"{""Tiffany Haddish"",""Rose Byrne"",""Salma Hayek"",""Jennifer Coolidge"",""Billy Porter""}","{Comedy}","Like a Boss is a 2020 American comedy film directed by Miguel Arteta, written by Sam Pitman and Adam Cole-Kelly, and starring Tiffany Haddish, Rose Byrne, and Salma Hayek. The plot follows two friends who attempt to take back control of their cosmetics company from an industry titan.","https://upload.wikimedia.org/wikipedia/en/9/9a/LikeaBossPoster.jpg",259,383
"4f4a1460-1631-486f-a37f-3c2f630e595d","Three Christs",2020,"{""Richard Gere"",""Peter Dinklage"",""Walton Goggins"",""Bradley Whitford""}","{Drama}","Three Christs, also known as State of Mind, is a 2017 American drama film directed, co-produced, and co-written by Jon Avnet and based on Milton Rokeach's nonfiction book The Three Christs of Ypsilanti. It screened in the Gala Presentations section at the 2017 Toronto International Film Festival. The film is also known as: Three Christs of Ypsilanti, The Three Christs of Ypsilanti, Three Christs of Santa Monica, and The Three Christs of Santa Monica.","https://upload.wikimedia.org/wikipedia/en/a/a1/Three_Christs_poster.jpg",259,383
"afd66b8a-4ed9-4281-baf1-aca333628982","Inherit the Viper",2020,"{""Josh Hartnett"",""Margarita Levieva"",""Chandler Riggs"",""Bruce Dern"",""Owen Teague""}","{Crime,Drama}","Inherit the Viper is a 2019 American crime drama film directed by Anthony Jerjen, in his feature directorial debut, from a screenplay by Andrew Crabtree. It stars Josh Hartnett, Margarita Levieva, Chandler Riggs, Bruce Dern, Valorie Curry, Owen Teague, and Dash Mihok.","https://upload.wikimedia.org/wikipedia/en/1/1c/Inherit_the_Viper_%282019%29_Film_Poster.jpg",236,350
"a56ca141-0d99-4c0b-a9e1-4b18e905a2c6","The Sonata",2020,"{""Freya Tingley"",""Simon Abkarian"",""Rutger Hauer"",""James Faulkner""}","{Mystery,Thriller}","The Sonata is a 2018 mystery thriller film, directed by Andrew Desmond, from a screenplay by Desmond and Arthur Morin. It stars Freya Tingley, Simon Abkarian, James Faulkner, Rutger Hauer, Matt Barber and James Kermack. It was released in the United States on January 10, 2020, by Screen Media Films. It grossed $146,595 at the box office and received mixed reviews from critics.","https://upload.wikimedia.org/wikipedia/en/1/13/The_Sonata_%282018%29_Film_Poster.jpg",246,350
"610cde32-5d89-48e5-b0b0-adca9362ca49","The Murder of Nicole Brown Simpson",2020,"{""Mena Suvari"",""Nick Stahl"",""Taryn Manning""}","{Crime,Horror}","The Murder of Nicole Brown Simpson is a 2019 American crime horror film directed by Daniel Farrands. The film is loosely based on the murder of Nicole Brown Simpson, presenting a version of events in which Brown Simpson is murdered by serial killer Glen Edward Rogers, and not by O. J. Simpson, her ex-husband and the primary suspect in the case. Though Mena Suvari's performance as Nicole Brown was praised, the film was panned by critics.","https://upload.wikimedia.org/wikipedia/en/e/ed/The_Murder_of_Nicole_Brown_Simpson_poster.jpg",263,380
"4e4de852-1e87-445d-ba82-aafe95ff6833","Bad Boys for Life",2020,"{""Will Smith"",""Martin Lawrence"",""Vanessa Hudgens"",""Alexander Ludwig"",""Charles Melton"",""Paola Núñez"",""Kate del Castillo"",""Nicky Jam"",""Joe Pantoliano""}","{Action,Comedy}","Bad Boys for Life is a 2020 American buddy cop action comedy film directed by Adil & Bilall. It is the sequel to Bad Boys II (2003) and the third installment in the Bad Boys franchise. Will Smith, Martin Lawrence, Joe Pantoliano and Theresa Randle reprise their roles in the film and are joined by Paola Núñez, Vanessa Hudgens, Jacob Scipio, Alexander Ludwig, Charles Melton, Kate del Castillo and Nicky Jam. The film was produced by Smith, Jerry Bruckheimer, and Doug Belgrad, with a screenplay written by Chris Bremner, Peter Craig and Joe Carnahan. In Bad Boys for Life, Miami detectives Mike Lowrey and Marcus Burnett investigate a string of murders tied to Lowrey's troubled past.","https://upload.wikimedia.org/wikipedia/en/9/90/Bad_Boys_for_Life_poster.jpg",219,325
"3745008e-c05c-4e32-8435-49b78d9c88b8","Dolittle",2020,"{""Robert Downey Jr."",""Antonio Banderas"",""Michael Sheen"",""Emma Thompson"",""Rami Malek"",""John Cena"",""Kumail Nanjiani"",""Octavia Spencer"",""Tom Holland"",""Craig Robinson"",""Ralph Fiennes"",""Selena Gomez"",""Marion Cotillard""}","{Adventure,Fantasy}","Dolittle is a 2020 American fantasy adventure film directed by Stephen Gaghan from a screenplay by Gaghan, Dan Gregor, and Doug Mand, based on a story by Thomas Shepherd. Dolittle is based on the title character created by Hugh Lofting and is primarily inspired by the author's second Doctor Dolittle book, The Voyages of Doctor Dolittle (1922). Robert Downey Jr. stars as the title character, alongside Antonio Banderas and Michael Sheen in live-action roles, with Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez, and Marion Cotillard voicing an array of creatures.","https://upload.wikimedia.org/wikipedia/en/1/1f/Dolittle_%282020_film_poster%29.png",220,326
"37551b88-0e65-4a78-828b-01879acb65d8","A Fall from Grace",2020,"{""Crystal R. Fox"",""Phylicia Rashad"",""Bresha Webb"",""Mehcad Brooks"",""Cicely Tyson"",""Tyler Perry""}","{Thriller}","A Fall from Grace is a 2020 American thriller film produced, written, and directed by Tyler Perry and his first to be released by Netflix. The film follows a woman who finds a dangerous new love and the novice attorney who defends her in a sensational court case. This was the final film of actor Cicely Tyson before her death in January 2021.","https://upload.wikimedia.org/wikipedia/en/4/4e/AFallFromGrace.png",259,383
